MTTO. ALCAZAR DE S. JUAN,-3.11351589543883,39.2574014453724,2632
MTTO. BARCELONA CAPITAL,2.13682634459459,41.3133865356757,37
MTTO. BIERZO,-6.62097876706128,42.6009690077799,1599
MTTO. CIUDAD REAL,-3.9648820489577,38.95240479138,4797
MTTO. CORUÑA,-8.41624531624551,43.2916984654228,3996
MTTO. FERROL,-8.10764327685242,43.5057257925339,1843
MTTO. GUADALAJARA,-2.62786966320853,40.5516167990362,2345
MTTO. ILLESCAS,-3.95742866357484,40.1080968191827,3768
MTTO. MADRID CAPITAL,-3.64257835965066,40.4174856787115,7606
MTTO. MADRID PROVINCIA,-3.47277292040944,40.2828652729933,4196
MTTO. MONFORTE,-7.49844971645636,42.7396014249569,2441
MTTO. NOIA,-8.99194562545362,42.788054721524,1660
MTTO. OCAÑA,-3.54914316666282,39.7067397109769,2426
MTTO. ORBIGO,-6.02376066752208,42.3694090317031,2061
MTTO. ORENSE,-7.73892033951125,42.3529882060534,2881
MTTO. PONTEVEDRA,-8.48869445542696,42.4844885200237,2115
MTTO. SANTIAGO,-8.48432173255914,42.9072825003991,2706
MTTO. SEGOVIA,-4.12595325381733,41.0872587091504,3531
MTTO. VALDEPEÑAS,-3.28174197950857,38.8163137776993,1982
MTTO. VIGO,-8.67536199729585,42.1720939243097,3086
MTTO. VILLAGARCIA,-8.68765561278119,42.5722614614482,1892
MTTO. XINZO,-7.67819895871478,42.0505543626043,1413
