ANTIGUA LA,LEON,-5.67756520871429,42.1823785492857,14
ARAHUETES,SEGOVIA,-3.86017341275,41.1543963425,4
ARANDILLA DEL ARROYO,CUENCA,-2.385098782,40.511766345,2
ARANGA,A CORUÑA,-8.01973440529851,43.2178657816418,67
ARANJUEZ,MADRID,-3.60806514019631,40.0342773561663,433
ARANZUEQUE,GUADALAJARA,-3.082058044,40.4968677,1
ARBETETA,GUADALAJARA,-2.403598412,40.66827308,1
ARBO,PONTEVEDRA,-8.31793780284783,42.1138608221739,46
ARCICOLLAR,TOLEDO,-4.11791394471875,40.058537034375,32
ARCONES,SEGOVIA,-3.7341002038125,41.11883260875,16
ARCOS DE JALON,SORIA,-2.28448842834091,41.1971295840909,44
ARCOS DE LA SIERRA,CUENCA,-2.1031550205,40.34710792,4
ARDON,LEON,-5.612093656,42.45626894,3
ARENALES DE SAN GREGORIO,CIUDAD REAL,-3.02837276205882,39.31171702,17
ARENAS DE SAN JUAN,CIUDAD REAL,-3.50554860002128,39.2049413378723,47
ARES,A CORUÑA,-8.24947328278689,43.4333436927869,61
AREVALILLO DE CEGA,SEGOVIA,-3.877344747,41.169827645,2
ARGAMASILLA DE ALBA,CIUDAD REAL,-3.10052288533014,39.1237134798086,209
ARGAMASILLA DE CALATRAVA,CIUDAD REAL,-4.06838966534731,38.7321710403593,167
ARGANDA DEL REY,MADRID,-3.45789692652759,40.303925789138,580
ARGANZA,LEON,-6.68774508329412,42.6391479652941,17
ARMUÑA,SEGOVIA,-4.25888169775,41.05667430625,8
ARMUÑA DE TAJUÑA,GUADALAJARA,-3.0230462024,40.535522664,5
ARNOIA A,OURENSE,-8.13173301425,42.2495894175,4
ARRANCACEPAS,CUENCA,-2.360008776,40.30261316,1
ARROBA DE LOS MONTES,CIUDAD REAL,-4.5418851332,39.154035036,5
ARTEIXO,A CORUÑA,-8.49590110595527,43.3160561177368,380
ARZUA,A CORUÑA,-8.17255622249039,42.9242617140385,104
ASTORGA,LEON,-6.06666080984956,42.4582426127434,113
ASTURIANOS,ZAMORA,-6.46700511307143,42.0493967521429,14
ATANZON,GUADALAJARA,-2.9948509,40.66996623,2
