A CORUÑA,-8.47674745032303,43.1458258929757,10129
ALBACETE,-2.67446203897541,38.9198057691803,122
BADAJOZ,-4.7909238112,39.333559514,5
BARCELONA,2.13682634459459,41.3133865356757,37
CIUDAD REAL,-3.59108638859672,39.0114332471099,9259
CORDOBA,-4.75491654016667,38.5429728625,24
CUENCA,-2.09411565480702,40.1901176839961,513
GUADALAJARA,-2.80218626269172,40.6201288595222,1716
JAEN,-3.4293672635,38.4828127,2
LEON,-6.26484178726565,42.522491497847,3256
LUGO,-7.50797026275845,42.7512692193941,2542
MADRID,-3.58190699009652,40.3696198129694,11811
OURENSE,-7.72330655086032,42.2529084076173,4260
PONTEVEDRA,-8.62286252616778,42.3719749189369,7092
SEGOVIA,-4.12566721409129,41.0868477093082,3527
SORIA,-2.35525816449074,41.1917156515741,108
TOLEDO,-3.79774029057936,39.9509248254675,6193
VALLADOLID,-4.37816878225,41.44965782,4
ZAMORA,-6.46436010654722,42.0582832460048,413
