28CG70,0.58,3312.54,YES,0,0,YES,168.39,127.6315789,3184.91,253571.06,77059.14699,176511.91
27C976,0.03,3233.61,NO,0,0,NO,3393.97,3637.5,-403.89,256804.67,80696.64699,176108.02
28CBF7,0.16,3203.42,YES,0,0,YES,589.68,454.6875,2748.73,260008.09,81151.33449,178856.76
28SA45,0.11,3184.42,YES,0,0,YES,911.53,727.5,2456.92,263192.51,81878.83449,181313.68
28CE35,0.52,3172.98,YES,0,0,YES,185.6,139.9038462,3033.08,266365.49,82018.73833,184346.75
28SA66,0.31,3166.77,YES,0,0,YES,314.84,242.5,2924.27,269532.26,82261.23833,187271.02
28S641,0.16,3159.69,YES,0,0,YES,608.79,485,2674.69,272691.95,82746.23833,189945.71
45A487,0.04,3152.63,YES,0,0,YES,2684.39,2425,727.63,275844.58,85171.23833,190673.34
27AL85,0.02,3149.41,NO,0,0,NO,4001.24,3637.5,-488.09,278993.99,88808.73833,190185.25
28CM57,0.31,3129.16,YES,0,0,YES,309.49,234.6774194,2894.48,282123.15,89043.41575,193079.73
13CFNS,0.04,3100,YES,0,0,YES,2439.28,2425,675,285223.15,91468.41575,193754.73
13CRY7,0.04,3071.33,YES,0,0,YES,2472.76,2425,646.33,288294.48,93893.41575,194401.06
28SN80,0.09,3069.69,YES,0,0,YES,1138.8,909.375,2160.32,291364.17,94802.79075,196561.38
13C932,0.07,3048.14,YES,0,0,YES,1334.37,1039.285714,2008.85,294412.31,95842.07647,198570.23
28SJ95,0.34,2955.49,YES,0,0,YES,287.16,220.4545455,2735.03,297367.8,96062.53101,201305.27
28SB02,0.05,2946.45,YES,0,0,YES,1833.61,1455,1491.45,300314.25,97517.53101,202796.72
45CL68,0.29,2932.68,YES,0,0,YES,334.9,259.8214286,2672.86,303246.93,97777.35244,205469.58
28CV00,0.03,2895.69,YES,0,0,YES,2923.27,2425,470.69,306142.62,100202.3524,205940.27
15XB00,0.01,2893.77,NO,0,0,NO,8142.53,7275,-4381.24,309036.39,107477.3524,201559.04
28AFN5,0.05,2890.82,YES,0,0,YES,2151.65,1818.75,1072.07,311927.21,109296.1024,202631.11
28SH35,0.13,2889.66,YES,0,0,YES,736.35,559.6153846,2330.04,314816.87,109855.7178,204961.15
28CAC0,0.31,2796.82,YES,0,0,YES,314.15,242.5,2554.32,317613.69,110098.2178,207515.47
28SN47,0.11,2759.18,YES,0,0,YES,897.3,727.5,2031.68,320372.87,110825.7178,209547.15
28CH45,0.06,2741.2,YES,0,0,YES,1740.85,1455,1286.2,323114.07,112280.7178,210833.35
28SFSP,0.26,2718.67,YES,0,0,YES,370.96,279.8076923,2438.86,325832.74,112560.5255,213272.21
28SYR5,0.05,2659,YES,0,0,YES,1873.26,1455,1204,328491.74,114015.5255,214476.21
28SB01,0.28,2655.44,YES,0,0,YES,343.48,259.8214286,2395.62,331147.18,114275.3469,216871.83
28SP90,0.23,2647.2,YES,0,0,YES,426.11,330.6818182,2316.52,333794.38,114606.0288,219188.35
45A785,0.08,2640.36,YES,0,0,YES,1266.85,1039.285714,1601.07,336434.74,115645.3145,220789.43
28SCXQ,0.09,2591.59,YES,0,0,YES,1021.75,808.3333333,1783.26,339026.33,116453.6478,222572.68
24A144,0.03,2584.99,NO,25,NO,NO,3489.48,3637.5,-1052.51,341611.32,120091.1478,221520.17
28CDG9,0.25,2584.2,YES,0,0,YES,395.39,303.125,2281.08,344195.52,120394.2728,223801.25
28CJ93,0.07,2549,YES,0,0,YES,1314.8,1039.285714,1509.71,346744.52,121433.5585,225310.96
28SQ09,0.18,2547.2,YES,0,0,YES,526.9,404.1666667,2143.03,349291.72,121837.7252,227453.99
28SC74,0.28,2539,YES,0,0,YES,344.34,259.8214286,2279.18,351830.72,122097.5466,229733.17
28CS37,0.21,2533.09,YES,0,0,YES,457.11,346.4285714,2186.66,354363.81,122443.9752,231919.83
40CB10,0.1,2522.63,YES,0,0,YES,947.04,727.5,1795.13,356886.44,123171.4752,233714.96
15AD39,0.06,2513.03,YES,0,0,YES,1740.63,1455,1058.03,359399.47,124626.4752,234772.99
28SA13,0.12,2511.17,YES,0,0,YES,834.28,661.3636364,1849.81,361910.64,125287.8388,236622.8
28CI58,0.52,2504.29,YES,0,0,YES,187.92,142.6470588,2361.65,364414.93,125430.4859,238984.44
28SG24,0.6,2469.15,YES,0,0,YES,162.33,123.3050847,2345.84,366884.08,125553.791,241330.29
28CB84,0.06,2465.71,YES,0,0,YES,1735.2,1455,1010.71,369349.79,127008.791,242341
28SD58,0.17,2462.43,YES,0,0,YES,578.97,454.6875,2007.74,371812.22,127463.4785,244348.74
28CL13,0.25,2458.95,YES,0,0,YES,383.33,291,2167.95,374271.17,127754.4785,246516.69
13CI21,0.17,2453.38,YES,0,0,YES,576.5,454.6875,1998.69,376724.55,128209.166,248515.38
28C632,0.18,2441.24,YES,0,0,YES,527.17,404.1666667,2037.07,379165.79,128613.3326,250552.46
19SJ46,0.06,2421.68,YES,0,0,YES,1539.15,1212.5,1209.18,381587.47,129825.8326,251761.64
13AA93,0.13,2417.99,YES,0,0,YES,755.69,606.25,1811.74,384005.46,130432.0826,253573.38
13CKI9,0.05,2413.1,YES,0,0,YES,1865.81,1455,958.1,386418.56,131887.0826,254531.48
28SH05,0.66,2407.32,YES,0,0,YES,146.79,110.2272727,2297.09,388825.88,131997.3099,256828.57
28SA70,0.28,2391.47,YES,0,0,YES,343.67,259.8214286,2131.64,391217.35,132257.1313,258960.22
28CA95,0.06,2383.27,YES,0,0,YES,1507.6,1212.5,1170.77,393600.62,133469.6313,260130.99
28S575,0.18,2382.36,YES,0,0,YES,526.21,404.1666667,1978.19,395982.98,133873.798,262109.18
28CI52,0.06,2374.4,YES,0,0,YES,1700.62,1455,919.4,398357.38,135328.798,263028.58
28CVF6,0.08,2368.12,YES,0,0,YES,1172.72,909.375,1458.75,400725.5,136238.173,264487.33
28CM41,0.03,2348.41,NO,60,NO,NO,3506.85,3637.5,-1289.09,403073.91,139875.673,263198.24
28SS38,0.09,2325,YES,0,0,YES,1112.18,909.375,1415.63,405398.91,140785.048,264613.86
28SK16,0.13,2323.93,YES,0,0,YES,752.9,606.25,1717.68,407722.84,141391.298,266331.54
28SQ14,0.04,2305.1,YES,0,0,YES,2404.15,1818.75,486.35,410027.94,143210.048,266817.89
36CPR5,0.03,2297.24,NO,60,NO,NO,3131.13,2425,-127.76,412325.18,145635.048,266690.13
28SQHS,0.06,2237.67,YES,0,0,YES,1693.19,1455,782.67,414562.85,147090.048,267472.8
28SI72,0.31,2219.81,YES,0,0,YES,310.07,234.6774194,1985.13,416782.66,147324.7254,269457.93
45AK33,0.1,2207.34,YES,0,0,YES,934.26,727.5,1479.84,418990,148052.2254,270937.77
28CBF2,0.37,2194.09,YES,0,0,YES,265.04,202.0833333,1992,421184.09,148254.3088,272929.78
19CK75,0.04,2183.76,NO,60,NO,NO,2529.63,2425,-241.24,423367.85,150679.3088,272688.54
28SNL5,0.06,2180.85,YES,0,0,YES,1575.25,1212.5,968.35,425548.7,151891.8088,273656.89
28CEU2,0.06,2177.59,YES,0,0,YES,1547.62,1212.5,965.09,427726.29,153104.3088,274621.98
28SA69,0.52,2154.59,YES,0,0,YES,186.1,139.9038462,2014.69,429880.88,153244.2126,276636.67
13AGS1,0.1,2141.79,YES,0,0,YES,925.9,727.5,1414.29,432022.67,153971.7126,278050.96
28SL26,0.19,2132.2,YES,0,0,YES,499.24,382.8947368,1749.31,434154.87,154354.6073,279800.26
28SNTT,0.18,2121.45,YES,0,0,YES,538.64,404.1666667,1717.28,436276.32,154758.774,281517.55
45AD67,0.16,2117.82,YES,0,0,YES,590.76,454.6875,1663.13,438394.14,155213.4615,283180.68
28SYD3,0.03,2105.62,NO,150,NO,NO,2977.72,2425,-319.38,440499.76,157638.4615,282861.3
13CDM1,0.12,2103.58,YES,0,0,YES,814.78,661.3636364,1442.22,442603.34,158299.8251,284303.51
28SH93,0.51,2102.97,YES,0,0,YES,191.31,145.5,1957.47,444706.31,158445.3251,286260.98
28CE21,0.11,2097.77,YES,0,0,YES,908.36,727.5,1370.27,446804.08,159172.8251,287631.25
45CY48,0.09,2072.76,YES,0,0,YES,1085.79,909.375,1163.39,448876.84,160082.2001,288794.64
28SI53,0.11,2061.84,YES,0,0,YES,872.89,661.3636364,1400.48,450938.68,160743.5638,290195.12
40CA44,0.03,2059.14,NO,60,NO,NO,3676.07,3637.5,-1578.36,452997.82,164381.0638,288616.76
19CJ92,0.26,2050.92,YES,0,0,YES,370.8,279.8076923,1771.11,455048.74,164660.8715,290387.87
28CB77,0.17,2038.22,YES,0,0,YES,570.37,427.9411765,1610.28,457086.96,165088.8127,291998.15
28CX04,0.43,2034.49,YES,0,0,YES,223.07,169.1860465,1865.3,459121.45,165257.9987,293863.45
45C023,0.16,1985.21,YES,0,0,YES,591.76,454.6875,1530.52,461106.66,165712.6862,295393.97
28SA67,0.54,1970.01,YES,0,0,YES,178.65,134.7222222,1835.29,463076.67,165847.4084,297229.26
13CI73,0.1,1961.45,YES,0,0,YES,1013.94,808.3333333,1153.12,465038.12,166655.7418,298382.38
45CTG3,0.03,1949.86,NO,20,NO,NO,3604.52,3637.5,-1687.64,466987.98,170293.2418,296694.74
28C361,0.12,1934.86,YES,0,0,YES,831.31,661.3636364,1273.49,468922.84,170954.6054,297968.23
40SV79,0.07,1922.36,YES,0,0,YES,1482.66,1212.5,709.86,470845.2,172167.1054,298678.09
40C145,0.37,1920.46,YES,0,0,YES,261.85,196.6216216,1723.84,472765.66,172363.727,300401.93
28SL86,0.24,1891.9,YES,0,0,YES,402.41,303.125,1588.77,474657.56,172666.852,301990.71
28SK17,0.27,1881.1,YES,0,0,YES,356.5,269.4444444,1611.66,476538.66,172936.2965,303602.36
28SI44,0.15,1880.1,YES,0,0,YES,654.74,519.6428571,1360.46,478418.76,173455.9393,304962.82
28S470,0.03,1867.84,NO,0,0,NO,3658.13,3637.5,-1769.66,480286.6,177093.4393,303193.16
15CZ68,0.11,1866.59,YES,0,0,YES,881.17,661.3636364,1205.22,482153.19,177754.8029,304398.39
28S088,0.2,1858.69,YES,0,0,YES,475.95,363.75,1494.94,484011.88,178118.5529,305893.33
45CBV1,0.18,1858.39,YES,0,0,YES,550.99,427.9411765,1430.45,485870.27,178546.4941,307323.78
28C820,0.15,1850.27,YES,0,0,YES,626.49,485,1365.27,487720.54,179031.4941,308689.05
28SA84,0.07,1848.48,YES,0,0,YES,1327.24,1039.285714,809.19,489569.02,180070.7798,309498.24
28SP51,0.16,1832.79,YES,0,0,YES,602.41,454.6875,1378.1,491401.81,180525.4673,310876.34
28CEL7,0.13,1832.43,YES,0,0,YES,767.25,606.25,1226.18,493234.24,181131.7173,312102.52
32AW35,0.03,1830.35,NO,10,NO,NO,3471.15,3637.5,-1807.15,495064.59,184769.2173,310295.37
28SM32,0.12,1815.72,YES,0,0,YES,795.74,606.25,1209.47,496880.31,185375.4673,311504.84
28STD0,0.25,1804.25,YES,0,0,YES,392.97,303.125,1501.12,498684.56,185678.5923,313005.97
28SH28,0.19,1803.66,YES,0,0,YES,515.78,404.1666667,1399.5,500488.22,186082.759,314405.46
28SLA0,0.11,1796.43,YES,0,0,YES,845.13,661.3636364,1135.07,502284.65,186744.1226,315540.53
28SSA9,0.03,1793.2,NO,0,0,NO,3076.17,2425,-631.8,504077.85,189169.1226,314908.73
13CHU5,0.16,1791.54,YES,0,0,YES,589.26,454.6875,1336.85,505869.39,189623.8101,316245.58
28SQW2,0.12,1787.77,YES,0,0,YES,812.9,661.3636364,1126.41,507657.16,190285.1738,317371.99
28SP43,0.2,1769.39,YES,0,0,YES,475.2,363.75,1405.64,509426.55,190648.9238,318777.63
28CI69,0.42,1765.92,YES,0,0,YES,233.09,177.4390244,1588.48,511192.47,190826.3628,320366.11
28CBCW,0.03,1764,NO,0,0,NO,3251.17,3637.5,-1873.5,512956.47,194463.8628,318492.61
45APL6,0.05,1756.95,YES,0,0,YES,1842.68,1455,301.95,514713.42,195918.8628,318794.56
28C381,0.06,1755.17,YES,0,0,YES,1707.85,1455,300.17,516468.59,197373.8628,319094.73
40CX93,0.15,1746.93,YES,0,0,YES,637.21,485,1261.93,518215.52,197858.8628,320356.66
45CJC3,0.12,1738.72,YES,0,0,YES,794.22,606.25,1132.47,519954.24,198465.1128,321489.13
28SN64,0.4,1738.43,YES,0,0,YES,242.53,186.5384615,1551.89,521692.67,198651.6513,323041.02
28SQP8,0.06,1729.06,YES,0,0,YES,1635.99,1455,274.06,523421.73,200106.6513,323315.08
15A186,0.08,1721,YES,0,0,YES,1189.5,909.375,811.63,525142.73,201016.0263,324126.7
40C985,0.05,1717.71,NO,0,0,NO,1984.51,1818.75,-101.04,526860.44,202834.7763,324025.66
24A486,0.03,1714.02,NO,0,0,NO,3562.66,3637.5,-1923.48,528574.46,206472.2763,322102.18
13CAN5,0.06,1712.77,YES,0,0,YES,1623.86,1455,257.77,530287.23,207927.2763,322359.95
36AU86,0.04,1712.32,NO,0,0,NO,2207.73,1818.75,-106.43,531999.55,209746.0263,322253.52
28SM18,0.08,1702.67,YES,0,0,YES,1148.29,909.375,793.29,533702.22,210655.4013,323046.82
28S679,0.2,1702.63,YES,0,0,YES,483.58,363.75,1338.88,535404.85,211019.1513,324385.7
28SSU2,0.1,1695.71,YES,0,0,YES,991.68,808.3333333,887.38,537100.56,211827.4846,325273.08
