02C127,0.01778605,1240.07,0,NO,39.233539345,-2,-42,-4.139234619,39,14,0.7416410554,ALBACETE,VILLARROBLEDO
02C142,0.032873019,1307.73,0,NO,38.954389238,-2,-51,-39.9785142,38,57,15.801255031,ALBACETE,OSSA DE MONTIEL
02S130,0.032487198,1308.26,300,NO,38.591655732,-2,-33,-1.660496692,38,35,29.96063487,ALBACETE,SALOBRE
02S137,0.051562231,1306.9,0,NO,38.594048966,-2,-33,-8.947831932,38,35,38.576278859,ALBACETE,SALOBRE
06A003,0.053398782,1257.64,0,NO,39.324179713,-4,-46,-36.15168614,39,19,27.046967076,BADAJOZ,HELECHOSA DE LOS MONTES
08C014,0.045599912,1339.54,0,NO,41.311661378,2,8,5.7735764077,41,18,41.980961941,BARCELONA,PRAT DE LLOBREGAT EL
08C015,0.048573831,1349.43,25,NO,41.311351573,2,8,13.779109992,41,18,40.865662374,BARCELONA,PRAT DE LLOBREGAT EL
08C019,0.048629781,1349.44,10,NO,41.312634441,2,8,11.821552611,41,18,45.483989008,BARCELONA,PRAT DE LLOBREGAT EL
08C022,0.046488471,1341.48,100,NO,41.317823907,2,8,25.73688792,41,19,4.1660647494,BARCELONA,PRAT DE LLOBREGAT EL
08C023,0.045823694,1340.17,25,NO,41.314100337,2,8,6.5658418274,41,18,50.76121305,BARCELONA,PRAT DE LLOBREGAT EL
08C024,0.048629781,1349.44,50,NO,41.314010526,2,8,14.03037316,41,18,50.437891838,BARCELONA,PRAT DE LLOBREGAT EL
08C025,0.045929622,1340.19,0,NO,41.312979628,2,7,59.61840295,41,18,46.726659158,BARCELONA,PRAT DE LLOBREGAT EL
08C026,0.045876629,1340.18,0,NO,41.312550805,2,8,7.9132559145,41,18,45.182898741,BARCELONA,PRAT DE LLOBREGAT EL
08C027,0.040206589,1328.92,100,NO,41.313736247,2,7,55.363082444,41,18,49.450488461,BARCELONA,PRAT DE LLOBREGAT EL
08C035,0.040206589,1328.92,100,NO,41.31395371,2,8,1.6402063389,41,18,50.233355236,BARCELONA,PRAT DE LLOBREGAT EL
08C036,0.088144515,1339.43,0,YES,41.315056456,2,8,1.9231793295,41,18,54.203242211,BARCELONA,PRAT DE LLOBREGAT EL
08C037,0.040405024,1329.55,100,NO,41.315353599,2,8,8.1196876714,41,18,55.27295472,BARCELONA,PRAT DE LLOBREGAT EL
08C038,0.040405024,1329.55,100,NO,41.316233927,2,8,8.0057412207,41,18,58.442137586,BARCELONA,PRAT DE LLOBREGAT EL
08C039,0.048685792,1349.45,60,NO,41.316512373,2,8,14.217172006,41,18,59.444541183,BARCELONA,PRAT DE LLOBREGAT EL
08C040,0.045823694,1340.17,25,NO,41.318051845,2,8,20.807955026,41,19,4.9866431768,BARCELONA,PRAT DE LLOBREGAT EL
08C041,0.039398301,1327.56,0,NO,41.316500339,2,7,55.508863383,41,18,59.401220313,BARCELONA,PRAT DE LLOBREGAT EL
08C042,0.055403914,1360.11,60,NO,41.316097768,2,8,38.330010555,41,18,57.951966096,BARCELONA,PRAT DE LLOBREGAT EL
08C043,0.010437984,1169.06,50,NO,41.316306884,2,8,39.684979023,41,18,58.704781006,BARCELONA,PRAT DE LLOBREGAT EL
08C056,0.027185201,1261.97,3000,YES,41.307011495,2,8,20.313306124,41,18,25.241381865,BARCELONA,PRAT DE LLOBREGAT EL
08C067,0.038797206,1326.04,0,NO,41.307950808,2,8,7.7314077295,41,18,28.622907642,BARCELONA,PRAT DE LLOBREGAT EL
13A024,0.041915513,1240,0,NO,38.739723093,-4,-43,-44.12724462,38,44,23.003133423,CIUDAD REAL,ALMADENEJOS
13A025,0.031253968,1287.51,0,NO,38.808426665,-4,-42,-27.00816176,38,48,30.335995771,CIUDAD REAL,ALMADENEJOS
13A026,0.053054114,1313.3,0,NO,38.764980703,-4,-33,-0.222053146,38,45,53.930531586,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A027,0.01872261,1228.13,0,NO,38.673192605,-4,-43,-18.56888757,38,40,23.493377936,CIUDAD REAL,ALAMILLO
13A028,0.029259464,1283.14,0,NO,38.723098284,-4,-58,-58.12490435,38,43,23.153824179,CIUDAD REAL,GUADALMEZ
13A029,0.01925176,1230.06,0,NO,38.725901935,-4,-58,-47.51374909,38,43,33.246967694,CIUDAD REAL,GUADALMEZ
13A030,0.045994213,1318.36,0,NO,38.677152919,-4,-47,-14.57037839,38,40,37.750506895,CIUDAD REAL,ALAMILLO
13A031,0.029275943,1284.64,0,NO,38.774286117,-4,-48,-52.63470649,38,46,27.430020318,CIUDAD REAL,ALMADEN
13A130,0.029654419,1270.2,0,NO,38.843033722,-4,-18,-3.678274051,38,50,34.921400879,CIUDAD REAL,CABEZARADOS
13A131,0.027701806,1264.66,0,NO,38.854361097,-4,-1,-12.40403499,38,51,15.699947878,CIUDAD REAL,CANYADA DE CALATRAVA
13A132,0.036582879,1304.81,0,NO,38.848292653,-3,-57,-52.09263771,38,50,53.8535514,CIUDAD REAL,VILLAR DEL POZO
13A133,0.026409338,1265.66,0,NO,38.84491459,-3,-57,-55.45290813,38,50,41.692524829,CIUDAD REAL,VILLAR DEL POZO
13A134,0.024442318,1257.15,0,NO,38.739595176,-4,-3,-22.36686112,38,44,22.542632913,CIUDAD REAL,ARGAMASILLA DE CALATRAVA
13A135,0.032294648,1290.75,0,NO,38.741330801,-4,-3,-4.034031583,38,44,28.790883934,CIUDAD REAL,ARGAMASILLA DE CALATRAVA
13A136,0.025136088,1259.58,0,NO,38.746519431,-4,-4,-26.60920654,38,44,47.469949973,CIUDAD REAL,ARGAMASILLA DE CALATRAVA
13A137,0.025310909,1256.6,0,NO,38.709901436,-4,-6,-23.9083955,38,42,35.645167917,CIUDAD REAL,PUERTOLLANO
13A139,0.022024841,1246.46,0,NO,38.671333799,-4,-8,-58.40812189,38,40,16.801676847,CIUDAD REAL,PUERTOLLANO
13A144,0.034401893,1288.53,0,NO,38.774969818,-4,-15,-1.64068359,38,46,29.891346554,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A145,0.060545743,1271.73,0,YES,38.795989262,-4,-23,-59.65965908,38,47,45.561344208,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A146,0.056187345,1291.59,150,NO,38.694338917,-4,-19,-57.44591434,38,41,39.620102432,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A147,0.027262526,1260.64,60,NO,38.667357973,-4,-18,-50.7500777,38,40,2.4887041312,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A148,0.025934528,1258.46,25,NO,38.698114886,-4,-25,-29.39003701,38,41,53.213591115,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A149,0.024922321,1258.78,20,NO,38.668580142,-4,-14,-44.41284386,38,40,6.8885096849,CIUDAD REAL,PUERTOLLANO
13A150,0.028949202,1269.86,50,NO,38.666446197,-4,-13,-38.70374405,38,39,59.206308052,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A151,0.042199702,1315.22,60,NO,38.659303674,-4,-17,-47.7767935,38,39,33.493224625,CIUDAD REAL,BRAZATORTAS
13A152,0.021768906,1236.97,25,NO,38.65978192,-4,-20,-37.90418584,38,39,35.214912329,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A154,0.031610467,1292.69,0,NO,38.663825685,-4,-6,-43.19035095,38,39,49.77246566,CIUDAD REAL,PUERTOLLANO
13A156,0.033191195,1298.08,0,NO,38.65686295,-4,-6,-29.18084577,38,39,24.706619482,CIUDAD REAL,PUERTOLLANO
13A157,0.023571497,1254.61,0,NO,38.514636225,-4,-7,-29.21547249,38,30,52.69040904,CIUDAD REAL,SOLANA DEL PINO
13A158,0.023879789,929.96,0,NO,38.497713865,-4,-8,-10.2023864,38,29,51.769912959,CIUDAD REAL,SOLANA DEL PINO
13A159,0.049736041,1250.41,25,NO,38.432749466,-3,-57,-40.80167533,38,25,57.898078554,CIUDAD REAL,MESTANZA
13A160,0.026471817,1272.12,0,NO,38.701245507,-4,-7,-43.08009831,38,42,4.4838248837,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A161,0.033787075,1296.09,10,NO,38.610487912,-4,-8,-48.16647229,38,36,37.756482919,CIUDAD REAL,HINOJOSAS DE CALATRAVA
13A162,0.032099672,1241.92,20,NO,38.680025247,-4,-18,-38.12548059,38,40,48.090890102,CIUDAD REAL,ALMODOVAR DEL CAMPO
13A163,0.082365692,1585.74,0,YES,38.739794845,-4,0,-39.11547727,38,44,23.261443786,CIUDAD REAL,ARGAMASILLA DE CALATRAVA
13A164,0.045328126,1249.72,0,NO,38.808668341,-3,-53,-4.537860219,38,48,31.206027343,CIUDAD REAL,POZUELO DE CALATRAVA
13A165,0.031224613,1291.14,0,NO,38.798176281,-4,-4,-15.17448248,38,47,53.434610797,CIUDAD REAL,ARGAMASILLA DE CALATRAVA
13A166,0.085403964,288,0,NO,38.798320732,-4,-4,-4.699079751,38,47,53.954635405,CIUDAD REAL,ARGAMASILLA DE CALATRAVA
13A167,0.021888692,1245.64,0,NO,38.685074516,-4,-18,-51.18258151,38,41,6.268258848,CIUDAD REAL,BRAZATORTAS
13A168,0.01872261,1228.13,0,NO,38.518956144,-4,-6,-59.93528279,38,31,8.2421198701,CIUDAD REAL,SOLANA DEL PINO
13A169,0.019331411,1231.74,0,NO,38.674329631,-4,-8,-40.95209454,38,40,27.58667156,CIUDAD REAL,PUERTOLLANO
13A170,0.027944478,1266.23,0,NO,38.716965887,-4,-6,-10.78484612,38,43,1.0771929269,CIUDAD REAL,ARGAMASILLA DE CALATRAVA
