28S029,463,SUBTERRANEO,3,20,1,2,315,100,9,0.646341463,0.4,0.55,0.051020408,0.666666667,0.75,0.556499903,Regulatory Check
45CM60,138,CASETA,1,4,7,5,400,200,22,0.646341463,0.4,0.810810811,1,1,0.75,0.552852402,No action Required
28C744,479,CASETA,3,16,0,2,400,100,27.5,0.646341463,0.6,0.882352941,0.051020408,0.666666667,0.5,0.551415758,Maintenance Required
28SCNF,1087,SUBTERRANEO,3,0,10,2,400,100,18,0.646341463,0.4,0.75,0.826086957,0.666666667,0.75,0.543783875,Maintenance Required
28CG10,752,CASETA,6,19,0,1,400,0,20,0.646341463,0.416666667,0.933333333,0.826086957,0.666666667,0.5,0.540916305,Regulatory Check
28SI87,1029,SUBTERRANEO,3,16,0,2,315,0,15,0.646341463,0.6,1,0.826086957,0.666666667,0.5,0.537795453,Maintenance Required
28SP37,1189,SUBTERRANEO,6,20,3,2,400,0,21.66666667,0.646341463,0.6,0.933333333,0.826086957,0.333333333,0.5,0.53368493,Maintenance Required
45CL83,167,CASETA,1,8,7,2,400,250,21,0.646341463,0.4,0.75,1,1,1,0.532776537,Maintenance Required
15CEQ7,67,CASETA,1,4,0,9,0,0,22,0.646341463,0.416666667,0.9,1,0.666666667,0.5,0.531244531,No action Required
28C688,273,EDIFICIO,2,12,8,2,315,300,8,0.646341463,0.4,0.810810811,0.051020408,1,1,0.525670372,Maintenance Required
28S990,375,SUBTERRANEO,3,0,10,2,400,0,11,0.646341463,0.4,0.625,0.051020408,1,0.75,0.524584902,No action Required
28SI42,1092,SUBTERRANEO,3,0,0,3,400,100,21,0.646341463,0.6,1,0.826086957,0.666666667,0.5,0.522907036,Maintenance Required
28C214,666,CASETA,3,17,0,2,315,0,21,0.646341463,0.6,0.933333333,0.051020408,0.333333333,0.5,0.522724744,Maintenance Required
28C337,785,CASETA,6,12,13,2,400,160,13.33333333,0.646341463,0.416666667,0.75,0.333333333,0.666666667,0.5,0.520460338,Regulatory Check
28SQ61,411,SUBTERRANEO,1,7,0,2,315,250,30,0.646341463,0.416666667,1,0.826086957,1,0.75,0.517951134,Regulatory Check
28C572,934,CASETA,3,16,8,2,315,125,10.5,0.646341463,0.4,0.810810811,0.826086957,0.666666667,0.5,0.517364755,Regulatory Check
28CI58,14,CASETA,1,0,0,2,315,100,22,0.646341463,0.416666667,0.810810811,0.826086957,1,1,0.516056705,Maintenance Required
28CB83,345,CASETA,1,8,4,2,250,250,23,0.646341463,0.4,1,0.333333333,0.666666667,0.75,0.514260854,No action Required
28C424,507,CASETA,3,16,0,2,400,100,14,0.646341463,0.416666667,0.810810811,0.333333333,0.666666667,0.5,0.513453913,Regulatory Check
28SI72,463,SUBTERRANEO,3,16,0,2,400,300,31,0.646341463,0.4,1,0.826086957,0.666666667,0.75,0.509621112,Maintenance Required
28SQE3,743,SUBTERRANEO,3,24,5,2,400,0,26,0.646341463,0.416666667,0.933333333,1,0.666666667,0.5,0.508202365,Maintenance Required
28SI93,132,SUBTERRANEO,3,16,0,2,315,0,34,0.646341463,0.6,0.933333333,0.826086957,1,0.75,0.499631015,Maintenance Required
28S400,577,SUBTERRANEO,3,0,0,2,400,0,12,0.646341463,0.6,0.882352941,0.333333333,0.666666667,0.75,0.491976682,Maintenance Required
28SK07,806,SUBTERRANEO,3,20,0,2,315,0,11.5,0.646341463,0.6,1,0.826086957,0.666666667,0.5,0.486262061,Maintenance Required
28S504,114,SUBTERRANEO,6,38,0,2,400,0,24,0.646341463,0.6,0.882352941,0.333333333,0.666666667,0.5,0.484188481,Regulatory Check
