MTTO. MADRID PROVINCIA,28CLE6,-3.27132,40.3541,MADRID,NUEVO BAZTAN
MTTO. MADRID CAPITAL,28C848,-3.58305,40.4505,MADRID,MADRID
MTTO. SEGOVIA,40SI92,-4.10762,40.9521,SEGOVIA,SEGOVIA
MTTO. MADRID CAPITAL,28S603,-3.65292,40.4394,MADRID,MADRID
MTTO. SEGOVIA,40C477,-4.00518,40.9022,SEGOVIA,REAL SITIO DE SAN ILDEFONSO
MTTO. MADRID CAPITAL,28SUB4,-3.60518,40.3945,MADRID,MADRID
MTTO. MADRID CAPITAL,28SP44,-3.67549,40.4264,MADRID,MADRID
MTTO. MADRID CAPITAL,28SH05,-3.69637,40.3955,MADRID,MADRID
MTTO. MADRID CAPITAL,28C009,-3.64774,40.3869,MADRID,MADRID
MTTO. MADRID CAPITAL,28C213,-3.58532,40.456,MADRID,MADRID
MTTO. MADRID CAPITAL,28SI15,-3.7081,40.4106,MADRID,MADRID
MTTO. MADRID CAPITAL,28CG21,-3.64189,40.4058,MADRID,MADRID
MTTO. MADRID CAPITAL,28C761,-3.66625,40.384,MADRID,MADRID
MTTO. SEGOVIA,40SC06,-4.12204,40.945,SEGOVIA,SEGOVIA
MTTO. MADRID CAPITAL,28SS92,-3.70039,40.4533,MADRID,MADRID
MTTO. MADRID CAPITAL,28CLD4,-3.53965,40.4273,MADRID,COSLADA
MTTO. MADRID CAPITAL,28CE42,-3.63987,40.4754,MADRID,MADRID
MTTO. MADRID CAPITAL,28S785,-3.66085,40.4045,MADRID,MADRID
MTTO. MADRID CAPITAL,28SN24,-3.67554,40.4435,MADRID,MADRID
MTTO. MADRID CAPITAL,28SDDQ,-3.69397,40.4219,MADRID,MADRID
MTTO. MADRID PROVINCIA,28CCN3,-3.24653,40.3571,MADRID,NUEVO BAZTAN
MTTO. MADRID CAPITAL,28C559,-3.64234,40.4313,MADRID,MADRID
MTTO. MADRID CAPITAL,28CBM2,-3.54759,40.4233,MADRID,COSLADA
MTTO. MADRID CAPITAL,28CJ83,-3.69701,40.4424,MADRID,MADRID
MTTO. ILLESCAS,45CN18,-3.80111,40.1159,TOLEDO,YELES
MTTO. MADRID CAPITAL,28C413,-3.61157,40.4351,MADRID,MADRID
MTTO. MADRID CAPITAL,28CSV2,-3.66828,40.4481,MADRID,MADRID
MTTO. MADRID PROVINCIA,28AGE4,-3.50606,40.3979,MADRID,MEJORADA DEL CAMPO
MTTO. MADRID CAPITAL,28SA69,-3.70116,40.4466,MADRID,MADRID
MTTO. MADRID CAPITAL,28SI39,-3.73065,40.4113,MADRID,MADRID
MTTO. MADRID CAPITAL,28CF39,-3.66398,40.376,MADRID,MADRID
