ANTAS DE ULLA,LUGO,-7.89699658536585,42.7778390243902,41,0,0
ANTIGUA LA,LEON,-5.677984,42.18515,10,0,0
ANYE,SEGOVIA,-4.32456,41.04415,2,0,0
ANYOVER DE TAJO,TOLEDO,-3.76557571428571,39.9859742857143,35,0,0
ARAHUETES,SEGOVIA,-3.85712666666667,41.1595666666667,3,0,0
ARANDILLA DEL ARROYO,CUENCA,-2.3858,40.5098,1,0,0
ARANGA,A CORUNYA,-8.01949482142857,43.2211285714286,56,0,0
ARANJUEZ,MADRID,-3.60206662601626,40.0362532520325,246,0,0
ARBETETA,GUADALAJARA,-2.4036,40.6683,1,0,0
ARBO,PONTEVEDRA,-8.31691097560975,42.1151609756097,41,0,0
ARCICOLLAR,TOLEDO,-4.11637,40.0533909090909,11,0,0
ARCONES,SEGOVIA,-3.736735,41.1192666666667,6,0,0
ARCOS DE JALON,SORIA,-2.27528730769231,41.1904038461538,26,0,0
ARCOS DE LA SIERRA,CUENCA,-2.11517,40.3459,1,0,0
ARDON,LEON,-5.61209666666667,42.4563,3,0,0
ARENALES DE SAN GREGORIO,CIUDAD REAL,-3.01614,39.310325,8,0,0
ARENAS DE SAN JUAN,CIUDAD REAL,-3.49621,39.21674,10,0,0
ARES,A CORUNYA,-8.24456230769231,43.4313576923077,52,0,0
AREVALILLO DE CEGA,SEGOVIA,-3.88735,41.1608,1,0,0
ARGAMASILLA DE ALBA,CIUDAD REAL,-3.08558568627451,39.1262039215686,51,0,0
ARGAMASILLA DE CALATRAVA,CIUDAD REAL,-4.07205989130435,38.7334423913044,92,0,0
ARGANDA DEL REY,MADRID,-3.45784130434782,40.3045107023411,299,0,0
ARGANZA,LEON,-6.68728916666667,42.6413833333333,12,0,0
ARMUNYA,SEGOVIA,-4.28130666666667,41.0668666666667,3,0,0
ARMUNYA DE TAJUNYA,GUADALAJARA,-3.02594,40.5389,1,0,0
ARNOIA A,OURENSE,-8.14626,42.2742,1,0,0
ARRANCACEPAS,CUENCA,-2.36001,40.3026,1,0,0
ARROBA DE LOS MONTES,CIUDAD REAL,-4.5408575,39.1512,4,0,0
ARTEIXO,A CORUNYA,-8.49515797520661,43.3134016528926,242,0,0
ARZUA,A CORUNYA,-8.17240677083333,42.9238770833333,96,0,0
ASTORGA,LEON,-6.06514935897436,42.4579397435897,78,0,0
