A CORUNYA,-8.48128716219604,43.1373822887942,7978,0,0
ALBACETE,-2.66146739130435,38.8594152173913,46,0,0
BADAJOZ,-4.77671,39.3242,1,0,0
BARCELONA,2.1366245,41.314005,20,0,0
CIUDAD REAL,-3.62113158683882,38.9984405664307,4802,0,0
CORDOBA,-4.81498222222222,38.5569888888889,9,0,0
CUENCA,-2.06991517110266,40.1889323193916,263,0,0
GUADALAJARA,-2.80416536945813,40.6297520197044,1015,0,0
LEON,-6.2703381948052,42.526244069264,2310,0,0
LUGO,-7.50993694779116,42.7519236947792,2241,0,0
MADRID,-3.5798834633519,40.3722295613661,6999,0,0
OURENSE,-7.73545691669053,42.2537075293444,3493,0,0
PONTEVEDRA,-8.61769376352108,42.3812796904141,5362,0,0
SEGOVIA,-4.08954508165829,41.0584283291457,1592,0,0
SORIA,-2.3563562295082,41.1892672131148,61,0,0
TOLEDO,-3.80077932110593,39.9729289898714,3653,0,0
ZAMORA,-6.47363332061069,42.0608080152671,262,0,0
