28SI53,0,661.3636364,2061.84,1400.48
40CA44,60,3637.5,2059.14,-1578.36
19CJ92,0,279.8076923,2050.92,1771.11
28CB77,0,427.9411765,2038.22,1610.28
28CX04,0,169.1860465,2034.49,1865.3
45C023,0,454.6875,1985.21,1530.52
28SA67,0,134.7222222,1970.01,1835.29
13CI73,0,808.3333333,1961.45,1153.12
45CTG3,20,3637.5,1949.86,-1687.64
28C361,0,661.3636364,1934.86,1273.49
40SV79,0,1212.5,1922.36,709.86
40C145,0,196.6216216,1920.46,1723.84
28SL86,0,303.125,1891.9,1588.77
28SK17,0,269.4444444,1881.1,1611.66
28SI44,0,519.6428571,1880.1,1360.46
28S470,0,3637.5,1867.84,-1769.66
15CZ68,0,661.3636364,1866.59,1205.22
28S088,0,363.75,1858.69,1494.94
45CBV1,0,427.9411765,1858.39,1430.45
28C820,0,485,1850.27,1365.27
28SA84,0,1039.285714,1848.48,809.19
28SP51,0,454.6875,1832.79,1378.1
28CEL7,0,606.25,1832.43,1226.18
32AW35,10,3637.5,1830.35,-1807.15
28SM32,0,606.25,1815.72,1209.47
28STD0,0,303.125,1804.25,1501.12
28SH28,0,404.1666667,1803.66,1399.5
28SLA0,0,661.3636364,1796.43,1135.07
28SSA9,0,2425,1793.2,-631.8
13CHU5,0,454.6875,1791.54,1336.85
28SQW2,0,661.3636364,1787.77,1126.41
28SP43,0,363.75,1769.39,1405.64
28CI69,0,177.4390244,1765.92,1588.48
28CBCW,0,3637.5,1764,-1873.5
45APL6,0,1455,1756.95,301.95
28C381,0,1455,1755.17,300.17
40CX93,0,485,1746.93,1261.93
45CJC3,0,606.25,1738.72,1132.47
28SN64,0,186.5384615,1738.43,1551.89
28SQP8,0,1455,1729.06,274.06
15A186,0,909.375,1721,811.63
40C985,0,1818.75,1717.71,-101.04
24A486,0,3637.5,1714.02,-1923.48
13CAN5,0,1455,1712.77,257.77
36AU86,0,1818.75,1712.32,-106.43
28SM18,0,909.375,1702.67,793.29
28S679,0,363.75,1702.63,1338.88
28SSU2,0,808.3333333,1695.71,887.38
28SQ30,0,909.375,1663.24,753.87
28SS34,0,559.6153846,1662.63,1103.01
28SK08,0,559.6153846,1656.91,1097.29
28C012,0,86.60714286,1652.08,1565.48
28S165,0,519.6428571,1645.32,1125.68
28S827,0,427.9411765,1635.53,1207.59
28SA48,0,106.9852941,1623,1516.01
13CHW6,0,1455,1615.04,160.04
28S757,0,177.4390244,1614.55,1437.11
45C338,0,259.8214286,1613.1,1353.27
45AG84,20,3637.5,1608,-2029.5
24AQ50,50,1818.75,1604.49,-214.26
28CH89,0,2425,1599,-826
28S624,0,92.08860759,1598.71,1506.63
28CQ96,0,158.1521739,1597.54,1439.39
45CL66,0,1212.5,1593.47,380.97
13CPZ8,0,909.375,1592.57,683.2
28CX46,0,94.48051948,1591.53,1497.05
28SP38,0,519.6428571,1589.68,1070.04
13A163,0,909.375,1585.74,676.37
40CBQ7,0,1212.5,1584,371.5
28CCB9,0,242.5,1573.31,1330.81
28SL64,0,102.4647887,1555.38,1452.91
40SC05,0,606.25,1554.15,947.9
28CIH8,0,909.375,1553.84,644.47
28SN22,0,121.25,1552.49,1431.24
28SK34,0,196.6216216,1551.98,1355.36
28SN94,0,148.4693878,1545.02,1396.55
28S830,0,111.9230769,1541.56,1429.64
40CBF7,0,363.75,1539.47,1175.72
40CZ08,0,727.5,1537.68,810.18
28SN93,0,158.1521739,1536.74,1378.59
19C298,50,1818.75,1536.08,-282.67
40SP24,0,909.375,1532.69,623.32
28CKH3,60,1818.75,1532.3,-286.45
28SD01,0,259.8214286,1530.16,1270.33
28SL65,0,115.4761905,1525.44,1409.96
28C572,0,115.4761905,1524.14,1408.67
28CLE6,0,154.787234,1523.99,1369.21
28SN23,0,145.5,1519.31,1373.81
28SA47,0,427.9411765,1519.18,1091.24
28SH22,0,1039.285714,1519,479.71
28C848,0,125.4310345,1518.42,1392.99
28C189,0,115.4761905,1517.05,1401.58
28CJVC,0,1212.5,1514.6,302.1
28C825,0,127.6315789,1514.02,1386.39
28SN06,0,346.4285714,1512.77,1166.34
24SDS1,0,485,1511.66,1026.66
28CW71,0,404.1666667,1511.49,1107.33
28CRM0,0,1212.5,1506.3,293.8
28SFPN,900,1818.75,1505.18,-313.57
28CC85,0,148.4693878,1505.17,1356.7
28C761,0,161.6666667,1504.03,1342.36
28SH37,0,363.75,1503.43,1139.68
28SW64,0,316.3043478,1503.18,1186.88
13C431,0,259.8214286,1503.03,1243.21
28SN99,0,454.6875,1503,1048.31
28SMKH,200,1818.75,1500.12,-318.63
13C793,0,346.4285714,1499.11,1152.68
28ST18,0,181.875,1497.47,1315.59
40CN15,0,661.3636364,1497.19,835.83
28CG10,0,134.7222222,1492.83,1358.11
28SQE3,0,145.5,1489.63,1344.13
27A523,0,3637.5,1489.13,-2148.37
45C309,0,139.9038462,1488.77,1348.86
28C059,0,346.4285714,1488.05,1141.63
28C688,0,227.34375,1488.04,1260.7
28S788,0,181.875,1485.93,1304.06
28C778,0,202.0833333,1484.89,1282.8
28CE02,0,316.3043478,1484.25,1167.95
28CFDK,0,909.375,1481.52,572.15
28SA43,0,186.5384615,1481.15,1294.61
28S113,0,234.6774194,1480.98,1246.31
28S119,0,346.4285714,1478.78,1132.35
28CB50,0,151.5625,1476.89,1325.33
28C608,0,2425,1476.86,-948.14
24C691,0,909.375,1476.45,567.08
28S724,0,330.6818182,1475.67,1144.99
13CYN0,0,606.25,1475.04,868.79
28SSM8,0,485,1474.95,989.95
40C169,0,1455,1474.88,19.88
28C730,0,404.1666667,1474.74,1070.57
28SR72,0,303.125,1474.51,1171.38
28SA05,0,291,1474.4,1183.4
28C062,0,427.9411765,1474.23,1046.29
28S114,0,177.4390244,1473.86,1296.42
36C859,0,250.862069,1472.78,1221.92
28C008,0,161.6666667,1472.77,1311.1
28C074,0,220.4545455,1472.45,1251.99
28S755,0,363.75,1472.15,1108.4
28C833,0,227.34375,1471.8,1244.45
28C013,0,250.862069,1471.66,1220.8
28CCJ1,0,454.6875,1470,1015.32
28SI87,0,165.3409091,1469.07,1303.73
28S222,0,727.5,1468.69,741.19
28S649,0,213.9705882,1468.43,1254.46
28CA62,0,279.8076923,1467.65,1187.84
28C007,0,269.4444444,1467.34,1197.9
28S115,0,485,1466.8,981.8
28C011,0,250.862069,1466.25,1215.39
28SI93,0,181.875,1465.77,1283.9
28C078,0,316.3043478,1465.56,1149.25
28S691,0,427.9411765,1465.48,1037.54
13CCK1,0,181.875,1465.2,1283.32
28C635,0,177.4390244,1463.9,1286.47
28SJJ3,0,316.3043478,1463.29,1146.99
28S772,0,196.6216216,1462.79,1266.16
28S102,0,606.25,1462.72,856.47
28CD84,0,213.9705882,1462.65,1248.68
28SJ44,0,519.6428571,1462.07,942.43
28SQB4,0,727.5,1461.52,734.02
28S027,0,427.9411765,1460.82,1032.88
28S024,0,363.75,1460.75,1097
28SJ05,0,169.1860465,1460.47,1291.28
28C819,0,250.862069,1460.32,1209.46
28S094,0,346.4285714,1460.12,1113.69
28S229,0,363.75,1460.05,1096.3
28S221,0,808.3333333,1459.5,651.16
28SE80,0,177.4390244,1459.15,1281.71
28S139,0,727.5,1459.14,731.64
28SIC1,0,606.25,1458.83,852.58
28S129,0,559.6153846,1458.52,898.91
28C054,0,316.3043478,1458.18,1141.88
28CCZ1,0,177.4390244,1457.73,1280.3
13CK78,0,382.8947368,1457.71,1074.81
28SPYC,0,606.25,1457.66,851.41
28CH16,0,250.862069,1457.33,1206.47
28SV17,0,808.3333333,1457.04,648.71
15CEL2,0,404.1666667,1457,1052.84
28SC96,0,346.4285714,1456.65,1110.22
28S100,0,661.3636364,1456.57,795.21
28C216,0,279.8076923,1456.44,1176.63
28C086,0,404.1666667,1456.31,1052.15
28SI29,0,427.9411765,1455.71,1027.77
28CV39,0,606.25,1455.26,849.01
28C056,0,316.3043478,1455.17,1138.86
28SA10,0,606.25,1455.17,848.92
28S464,0,808.3333333,1454.93,646.6
28C053,0,727.5,1454.57,727.07
28SIX5,0,808.3333333,1454.3,645.96
28SC68,0,485,1454.15,969.15
28S320,0,559.6153846,1453.97,894.36
28ST21,0,382.8947368,1453.67,1070.77
28C046,0,1039.285714,1453.47,414.19
28S220,0,909.375,1453.39,544.01
28SJ10,0,213.9705882,1452.93,1238.96
28SU19,0,727.5,1452.03,724.53
28S353,0,606.25,1451.97,845.72
28C148,0,1212.5,1451.78,239.28
28S080,0,661.3636364,1451.77,790.4
28C172,100,1455,1451.5,-3.5
28S099,0,454.6875,1451.38,996.69
28CL69,0,196.6216216,1451.2,1254.58
28C421,0,303.125,1451.16,1148.04
28S097,0,727.5,1451.06,723.56
28C212,0,454.6875,1451.03,996.35
28C238,0,316.3043478,1450.96,1134.65
28ST64,0,330.6818182,1450.15,1119.47
28SA12,0,250.862069,1450.01,1199.15
28C369,0,269.4444444,1449.92,1180.48
28SG58,0,606.25,1449.74,843.49
28SSH9,0,909.375,1449.7,540.33
28CE11,0,279.8076923,1449.47,1169.66
28CC58,0,727.5,1449.19,721.69
28S019,0,909.375,1449.09,539.72
28C744,0,158.1521739,1449,1290.85
28CI77,0,213.9705882,1448.68,1234.71
28S070,0,808.3333333,1448.31,639.97
28SLA1,0,242.5,1448.28,1205.78
28C093,0,519.6428571,1447.83,928.19
28C952,0,259.8214286,1447.5,1187.67
28S418,0,454.6875,1447.22,992.53
28SA40,0,808.3333333,1447.11,638.78
28S824,0,346.4285714,1446.78,1100.35
28C142,0,1039.285714,1446.66,407.37
45CZ26,0,559.6153846,1446.23,886.61
28S651,0,454.6875,1445.75,991.06
28SA59,0,808.3333333,1445.66,637.32
28C709,0,382.8947368,1445.57,1062.68
28SII3,0,808.3333333,1444.75,636.42
28ST22,0,808.3333333,1444.68,636.35
28S296,0,382.8947368,1444.62,1061.72
28SD75,0,454.6875,1444.49,989.81
45CL69,0,519.6428571,1444.47,924.83
28S440,0,330.6818182,1444.46,1113.78
28S728,0,485,1444.13,959.13
28S434,0,404.1666667,1444.11,1039.95
28SNZC,0,727.5,1443.84,716.34
28S134,0,727.5,1443.73,716.23
28S823,0,727.5,1443.65,716.15
28SC76,0,404.1666667,1443.54,1039.38
13C837,0,250.862069,1443.49,1192.63
28S992,0,727.5,1443.44,715.94
28S042,0,213.9705882,1443.15,1229.18
28C047,0,346.4285714,1443.09,1096.66
28C112,0,454.6875,1442.62,987.93
28SFTZ,0,661.3636364,1442.6,781.23
